15	f˸24ساعت§n-12634	f˸مثال	f˸"در شبانه روز باید6 بار قطره ها را در چشمهایت به فاصله ی 4 ساعت بچکانید"
178	f˸آب سفید§n-19372	f˸تعریف	f˸"بیماری ناشی از تارشدن عدسی یا قرنیه‌ی چشم که مانع از عبور آزادانه نور به شبکیه می‌شود و بینایی را مختل می‌کند"
113074	f˸کوچک کردن§v-19437	f˸تعریف	f˸"کم کردن اندازه چیزی; محدود کردن"	
113075	f˸کوچک کردن§v-8300	f˸ISA	f˸بریدن§v-8902	
113076	f˸کوچک کردن§v-8300	f˸ISA	f˸تقلیل دادن§v-8324	
113077	f˸کوچک کردن§v-8300	f˸مثال	f˸"پیازها را خرد می کنیم و سپس تفت می دهیم."	
113078	f˸کوچک کردن§v-8300	f˸تعریف	f˸"به تکه های ریز تبدیل کردن"	
113079	f˸کوچک کننده#a1	f˸عضو هم‌نشیم	f˸کوچک‌کننده§a-18495	
113079	f˸کوچک کننده#a1	f˸عضو هم‌نشیم	f˸کوچک‌کننده§a-18495	
113080	f˸کوچک#a1	f˸عضو هم‌نشیم	f˸کوچولو§a-385	
113081	f˸کوچک#a2	f˸عضو هم‌نشیم	f˸جوان§a-82	
113082	f˸کوچکی#n1	f˸عضو هم‌نشیم	f˸کوچکی§n-14818	
113082	f˸کوچکی#n1	f˸عضو هم‌نشیم	f˸کوچکی§n-14818	
113083	f˸کوچکی§n-14818	f˸ISA	f˸سایز§n-10167	
113084	f˸کوچکی§n-14818	f˸مثال	f˸"محدودیت مکان ورزش"	
113085	f˸کوچکی§n-14818	f˸تعریف	f˸"کم یا کوچک بودن"	
113085	f˸کوچکی§n-14818	f˸تعریف	f˸"کم یا کوچک بودن"	
113086	f˸کوچک‌کننده#a1	f˸عضو هم‌نشیم	f˸کوچک‌کننده§a-18495	
113086	f˸کوچک‌کننده#a1	f˸عضو هم‌نشیم	f˸کوچک‌کننده§a-18495	
113087	f˸کوچک‌کننده§a-18495	f˸مرتبط با	f˸کوچولو§a-385	
113088	f˸کوچک‌کننده§a-18495	f˸مثال	f˸"متخصص زیبایی از ماسک کوجک کننده بینی استفاده کرد"	
113089	f˸کوچک‌کننده§a-18495	f˸تعریف	f˸"ویژگی آنچه باعث کوچکی شود"	
113089	f˸کوچک‌کننده§a-18495	f˸تعریف	f˸"ویژگی آنچه باعث کوچکی شود"	
113140	f˸کوکر§n-19568	f˸تعریف	f˸"تیره‌ای از پرندگان دانه‌خوار از راسته‌ی کبوتر شکلان که شبیه کبک کوچک است اما با پروازی شبیه کبوتر، دارای بالها و دم دراز نوک تیز با شاهپرهای دراز، پاهای کوتاه پردار و انگشتان لخت"	
113152	f˸کوکو§n-19567	f˸مثال	f˸"کوکو پرنده ی کوچکی است که اغلب از میوه‌ها و حشرات کوچک تغذیه می کند"	
113152	f˸کوکو§n-19567	f˸مثال	f˸"کوکو پرنده ی کوچکی است که اغلب از میوه‌ها و حشرات کوچک تغذیه می کند"	
113153	f˸کوکو§n-19567	f˸تعریف	f˸"پرنده ی کوچک از راسته‌ی کوکوشکلان دارای دم دراز خاکستری با انتهای گرد، پاهای زرد، سطح پشتی و گلوی خاکستری مایل به آبی و سطح شکمی راه راه عرضی، بالهای نوک تیز و پرواز مستقیم"	
113288	f˸کیسه کوچک#n1	f˸عضو هم‌نشیم	f˸خرجین§n-11089	
113334	f˸کیف§n-12078	f˸تعریف	f˸"کیسه مانندی با اندازه های مختلف از جنس چرم, پارچه یا نایلون برای نگهداری و حمل پول و اشیاء کوچک"	
113479	f˸کیوسک§n-15014	f˸تعریف	f˸"اتاقی کوچک مورد استفاده برای ارائه ی خدماتی از قبیل نگهبانی ، بلیط فروشی ، فروش خوراکی و غیره"	
113620	f˸گاز کمیاب§n-25329	f˸تعریف	f˸"هریک از عنصرهای گروه صفر جدول تناوبی که جزء بسیار کوچکی از جو را تشکیل می دهند. در برخی هیدروکربن های طبیعی وجود دارند"	
113897	f˸گاویان§n-10818	f˸مثال	f˸"گاویان گروه کوچکی از نشخوارکنندگان را تشکیل می‌دهن"	
114156	f˸گربه§n-14106	f˸تعریف	f˸"جانور پستاندار و گوشتخوار خانگی که اغلب به شکار موش و پرندگان کوچک می پردازد"	
114792	f˸گروهان§n-13229	f˸تعریف	f˸"واحد نظامی معمولاً مرکب از سه دسته و کوچکتر از گردان"	
115539	f˸گلوآبی§n-24481	f˸مثال	f˸"گلوآبی پرنده‌ی حشره‌خوار کوچک و مهاجری است که در درخت‌های غان یا باتلاق‌ها و نیزارهای آسیا و اروپا تخم‌گذاری می‌کند"	
115581	f˸گلوله§n-26222	f˸تعریف	f˸"گوی کوچک و گرد"	
115862	f˸گنجشک§n-16985	f˸تعریف	f˸"پرنده ای کوچک با نوک مخروطی که در سوراخها و لای شاخه درختان لانه دارد"	
115871	f˸گنجه§n-15772	f˸تعریف	f˸"نوعی کمد کوچک قدیمی"	
116053	f˸گوجه§n-15786	f˸تعریف	f˸"میوه ای کوچک و ابدار دارای پوست نازک به رنگ سبز یا سرخ و یک هسته سبز"	
116289	f˸گونه§n-11733	f˸تعریف	f˸"کوچکترین واحد رده بندی موجودات زنده شامل گروهی از جانوران که می توانندبا هم آمیزش کنند و نوزادان زایا به وجود بیاورند"	
116711	f˸گیشه§n-15807	f˸تعریف	f˸"پنجره کوچکی که در برخی مکان ها مثل بلیط فروشی است و از انجا به مراجعه کنندگان خدمات ارائه می دهند"	
116802	f˸یابو§n-21494	f˸مثال	f˸"یابو از اسب کوچک تر است"	
116803	f˸یابو§n-21494	f˸تعریف	f˸"نوعی از اسب بارکش که کوچک میباشد."	
116987	f˸یاس§n-25616	f˸تعریف	f˸"درختچه‌ای از تیره ی زیتونیان با ساقه‌های بالارونده، برگهای بزرگ متقایل و گلهای سفید یا زرد کوچک و معطر"	
117094	f˸یاکریم§n-16948	f˸مثال	f˸"خوراک یاکریم دانه‌ها، غلات، علف‌ها، دیگر انواع سبزیجات و حشرات کوچک است،."	
117095	f˸یاکریم§n-16948	f˸تعریف	f˸"پرنده ای شبیه به کبوتر کوچک است که که در مناطق گرمسیری زندگی می کند. دم بلند و جثه لاغری نسبت به دیگر کبوترسانان دارد"	
117369	f˸یوئیل§n-23953	f˸تعریف	f˸"یوئیل پسر فتوئیل دومین پیامبر از دوازده پیامبر کوچک و نویسنده کتاب یوئیل بود"	
117447	f˸یونس§n-23943	f˸مثال	f˸"یونس پنجمین پیغمبر از دوازده پیامبر کوچک بنی‌اسرائیل پسر امتای و از نوادگان زبولون بود"	
566	f˸آبزی§a-931	f˸مثال	f˸"جانوران آبزی"	
609	f˸آبشش پایان§n-23372	f˸ISA	f˸جانور§n-12239	
675	f˸آبچر§n-21565	f˸ISA	f˸جانور§n-12239	
1442	f˸آردوارک§n-20633	f˸تعریف	f˸"جانور پستاندار بزرگ مورچه‌خوار از راسته‌ی بی دندانان، بومی آفریقا دارای پوزه‌ی دراز"	
1448	f˸آردولف§n-20632	f˸تعریف	f˸"جانور پستاندار بومی آفریقا از تیره ی کفتارها دارای پوست راه‌راه که از لاشه و حشرات تغذیه می‌کند"	
1537	f˸آرمادیلو§n-23386	f˸مثال	f˸"فاتحان اسپانیایی قارهٔ آمریکا این جانور را آرمادیلو نامیدند که به اسپانیایی به معنی "زره‌دار کوچک" است"	
2378	f˸آفتاب پرست§n-22539	f˸ISA	f˸جانور§n-12239	
2725	f˸آلپاکا§n-23427	f˸تعریف	f˸"جانور پستاندار از تیره ی شتران، با پشم یا موی بلند نرم و براق، پنجه های نرم و پهن و یک جفت دندان پیش بالایی"	
3073	f˸آمیب§n-23486	f˸ISA	f˸جانور§n-12239	
3075	f˸آمیب§n-23486	f˸تعریف	f˸"ساده‌ترین جانور تک یاخته‌ای از رده ی ریشه پایان با پاهای کاذب کوتاه که در آب و به صورت انگلی زندگی می کند"	
3198	f˸آنتلوپ§n-23491	f˸مثال	f˸"این نوع گاوها بیشتر طعمه‌ای برای جانوران وحشی محسوب می‌شوند"	
3199	f˸آنتلوپ§n-23491	f˸تعریف	f˸"جانور پستاندار از تیره ی گاوان بیشتر بومی آفریقا و جنوب غربی آسیا، که با جثه‌ی سبکتر و شاخهای روبه بالا متمایز می شود"	
3456	f˸آهو§n-22089	f˸تعریف	f˸"جانور پستاندار نشخوار کننده از راسته‌ی جفت سمان، با جثه‌ای به اندازه ی بز و پاهای باریک و موی کوتاه"	
4239	f˸ابیا§n-22590	f˸تعریف	f˸"@جانورشناسی@پرنده‌ای از راسته‌ی پرندگان ساحلی که پرواز سریع و مارپیچی دارد و به دلیل همرنگی با برگها و کم تحرکی‌اش، دیدنش دشوار است"	
5702	f˸ارانگوتان§n-20726	f˸تعریف	f˸"جانور پستاندار از جنس میمون و بالاتیره‌ی آدم نمایان با هیکلی شبیه انسان، پشم نرم و سرخ رنگ، جمجمه‌ی بلند با پشتی اندکی خمیده که درختزی و گیاهخوار است"	
6033	f˸اردک منقاری§n-20731	f˸تعریف	f˸"جانور پستاندار بومی استرالیا، از راسته‌ی مرغسانان دارای منقاری شبیه اردک و پاهای پره‌دار که با آن شنا می‌کند و کرم و حشره می‌خورد"	
6731	f˸اسب آبی§n-19266	f˸تعریف	f˸"جانور پستاندار علفخوار از زیر راسته ی خوکان، با دست و پای کوتاه، تنه‌ی سنگین و پوست خاکستری یا خرمایی که از گیاهان آبی تغذیه می‌کند و بومی آفرقا است"	
6743	f˸اسب دریایی§n-19265	f˸ISA	f˸جانور§n-12239	
6746	f˸اسب دریایی§n-19265	f˸تعریف	f˸"جانور دریایی از راسته‌ی سوزن ماهیان، با سری شبیه سر اسب و دمی با انتهای پیچیده که به وسیله‌ی آن به علفهای دریایی می‌پیچد"	
9506	f˸اقلام دارویی§n-12827	f˸تعریف	f˸"هر ماده ای که به انسان یا جانور بدهند تا در تشخیص, درمان یا پیشگیری بیماریها , تسکین بیماری یا بهبود حال بیمار به کار آید"	
11245	f˸اندوخته§a-18031	f˸مثال	f˸"در این جنگل اندوخته گونه های جانوری متعددی زندگی می کنند"	
11246	f˸اندوخته§a-18031	f˸تعریف	f˸"ویژگی جنگل یا هر منطقه ای که به اعتبار برخورداری از گونه های خاص گیاهی یا جانوری یا شرایط ویژه، تحت حمایت قانونی قرار گیرد"	
11722	f˸انگل شناسی§n-23599	f˸تعریف	f˸"شاخه ای از زیست شناسی که به شناسایی، مطالعه و مبارزه با انگلهای گیاهی و جانوری می پردازد"	
11832	f˸اهلی کردن§v-21985	f˸مثال	f˸"نخستین جانوری که انسان اهلی کرد سگ بود."	
11833	f˸اهلی کردن§v-21985	f˸تعریف	f˸"مأنوس و رام کردن جانوران"	
12127	f˸اژدها§n-20743	f˸تعریف	f˸"جانور افسانه‌ای عظیمی با چندین سر یا دم که از دهانش آتش می‌بارد و با تنوره کشیدن پرواز می‌کند و ترسناک و زیانکار است"	
12136	f˸اژدهای کومودو§n-19339	f˸تعریف	f˸"جانور خزنده همه‌چیزخوار به طول 3 متر و وزنی بیش از 136 کیلوگرم، که زیستگاهش منطقه‌ی کومودوی اندونزی است"	
12166	f˸اکاپی§n-22133	f˸تعریف	f˸"جانور پستاندار علفخوار از تیره‌ی زرافگان، بسیار شبیه زرافه، اما کوچکتر و دارای گردن کوتاهتر، که در ناحیه‌ی رود کنگو در آفریقا یافت می‌شود و بسیار گریزپاست"	
12369	f˸اکیدنه§n-22145	f˸ISA	f˸جانور§n-12239	
12371	f˸اکیدنه§n-22145	f˸تعریف	f˸"جانور حشره خوار شبیه خارپشت، از راسته ی مرغ سانان بی دندان و بومی استرالیا"	
13292	f˸بادامی شکلان§n-17322	f˸ISA	f˸جانور§n-12239	
13293	f˸بادامی شکلان§n-17322	f˸مثال	f˸"در سونامی ژاپن، یکی از جانورانی که با نابودیشان به چرخه‌ی حیات دریایی آسیب رساندند، بادامی شکلان بودند"	
13294	f˸بادامی شکلان§n-17322	f˸تعریف	f˸"@جانورشناسی@ شاخه‌ای از جانوران پریاخته‌ی دریایی به صورت کرم‌های کوچک خاکستری یا زردرنگ با بدن باریک بادامی شکل قابل انقباض و شاخک‌های تو خالی کوتاه در پیرامون دهان"	
13294	f˸بادامی شکلان§n-17322	f˸تعریف	f˸"@جانورشناسی@ شاخه‌ای از جانوران پریاخته‌ی دریایی به صورت کرم‌های کوچک خاکستری یا زردرنگ با بدن باریک بادامی شکل قابل انقباض و شاخک‌های تو خالی کوتاه در پیرامون دهان"	
13699	f˸بارور§a-936	f˸تعریف	f˸"ویژگی جانوریا گیاهی که بتواند تولید مثل کند"	
14632	f˸باغ وحش§n-24452	f˸مرتبط با	f˸جانور§n-12239	
14636	f˸باغ وحش§n-24452	f˸تعریف	f˸"موسسه ای با فضای سبز، محوطه های محصور، بناها و تاسیسات نگهداری جانوران گوناگون برای تماشای مردم"	
14683	f˸بافت حیوانی§n-13448	f˸مرتبط با	f˸جانور§n-12239	
14841	f˸بال§n-10793	f˸تعریف	f˸"هر یک از اندام های متحرکی که جانورانی مانند پرندگان و حشرات به کمک آنها پرواز می کنند"	
14923	f˸بالاتنه§a-320	f˸مثال	f˸"بالاتنه جانور را آزمایش کردند"	
15213	f˸بانگ§n-11595	f˸مرتبط با	f˸جانور§n-12239	
15392	f˸ببری§n-17932	f˸مثال	f˸"در جانورشناسی، او را اسلوت می‌نامند"	
15393	f˸ببری§n-17932	f˸تعریف	f˸"جانور پستاندار از تیره‌ی گربه‌سانان، بومی قاره‌ی آمریکا که بسیار شبیه ببر کوچک است"	
15410	f˸بت§n-26030	f˸تعریف	f˸"پیکره ی انسان یا جانور یا گیاه که مظهر نیرویی آسمانی و درخور ستایش تلقی شود"	
15423	f˸بتاز§a-18676	f˸تعریف	f˸"ویژگی جانوری مانند اسب که سریع می دود"	
16485	f˸برانشی§n-22511	f˸تعریف	f˸"اندام تنفسی جانوران آبزی که اکسیژن محلول در آب را جذب می کند"	
17680	f˸بز§n-14111	f˸تعریف	f˸"جانور پستاندار نشخوارکننده که پوست آن با مو پوشیده شده و شاخهای بلند, دم کوتاه و ریش و سری دراز دارد و هر دو نوع اهلی و وحشی آن یافت می شود"	
20134	f˸به‌طورغول‌آسا§r-23090	f˸مثال	f˸"دایناسور این فیلم به طور غول آسا بزرگ است و تمام جانوران از آن وحشت دارند"	
20500	f˸بوف§n-19580	f˸مثال	f˸"کوف اغلب در شبها شکار می‌کند و غذای اصلیش را موشها و جانوران کوچک تشکیل می‌دهند"	
20506	f˸بوفالو§n-21190	f˸تعریف	f˸"جانور پستاندار از تیره‌ی گاوان و راسته‌ی جفت سمان با شاخهای هلالی، کوهانی روی شانه و موهای دراز و تابدار که جنس نر بزرگتر از ماده است"	
21218	f˸بی مهرگان§n-12712	f˸ISA	f˸جانور§n-12239	
21220	f˸بی مهرگان§n-12712	f˸تعریف	f˸"جانورانی که ستون مهره و اسکلت داخلی ندارند"	
21810	f˸بیماری حیوان§n-25528	f˸مرتبط با	f˸جانور§n-12239	
22121	f˸بینی§n-13972	f˸تعریف	f˸"عضو بویایی در انسان و جانوران"	
22597	f˸بی‌مهره§a-18097	f˸مثال	f˸"جانوران بی مهره فاقد اسکلت استخوانی هستند"	
22598	f˸بی‌مهره§a-18097	f˸تعریف	f˸"متعلق به جانوران بی مهره"	
23112	f˸تارسیر§n-22864	f˸تعریف	f˸"جانور پستاندار شبزی، با جثه‌ای به بزرگی یک سنجاب و چشمهای برجسته و گوشهای بزرگ و نازک که از حشرات و مارمولکها تغذیه می‌کند"	
23342	f˸تاماندوا§n-23108	f˸ISA	f˸جانور§n-12239	
23344	f˸تاماندوا§n-23108	f˸تعریف	f˸"گونه‌ای از جانوران درختزی بومی آمریکای جنوبی با موهای ابریشمی، دم بلند و دندانهای پیش پایینی بزرگ"	
23437	f˸تاکسونومی§n-25420	f˸مرتبط با	f˸جانور§n-12239	
23439	f˸تاکسونومی§n-25420	f˸مثال	f˸"جانوران را با استفاده از دانش تاکسونومی می توان رده بندی نمود"	
23440	f˸تاکسونومی§n-25420	f˸تعریف	f˸"دانش رده بندی جانوران و گیاهان براساس سلسله، رده، راسته، تیره"	
23453	f˸تاکسیدرمی§n-19306	f˸مثال	f˸"تاکسیدرمی را برای نگهداری درازمدت پیکر جانوران برای نمایش دادن انجام می دند"	
23454	f˸تاکسیدرمی§n-19306	f˸تعریف	f˸"فن، هنر یا عمل آماده کردن، پرکردن و به حالت طبیعی درآوردن پوست جانوران، به ویژه مهره‌داران _فرهنگستان_ آکنده سازی"	
24497	f˸تخم گذار§a-989	f˸تعریف	f˸"ویژگی جانوری که تخم می گذارد و بعد نوزاد از تخم بیرون می آید"	
24702	f˸تذکیه§n-23249	f˸تعریف	f˸"فرایند سربریدن جانور حلال گوشت خوراکی"	
25875	f˸تشی§n-21607	f˸تعریف	f˸"جانور پستاندار شبگرد از راسته‌ی جوندگان به رنگ قهوه‌ای که پشتش را خارهای بلند و تیزی پوشانده و خارهای بلند پشت و عقب اغلب به دو رنگ قهوه‌ای و سفید است"	
28580	f˸توره§n-25292	f˸مثال	f˸"شغال‌ها معمولاً لانه مشخصی ندارد و از گودال‌ها، سوراخ‌های طبیعی، شکاف سنگ‌ها و لانه متروکه سایر جانوران، برای ایجاد لانه و تولد نوزادان استفاده می‌کند"	
28581	f˸توره§n-25292	f˸تعریف	f˸"جانور پستاندار از تیره‌ی سگسانان که وحشی و شبگرد شبیه گرگ ولی کوچکتر از آن است و از گوشت شکار، مردار و میوه تغذیه می‌کند و غالباً دسته جمعی به شکار می‌رود"	
28808	f˸تولارمی§n-25529	f˸تعریف	f˸"بیماری عفونی جانوران جونده، شبیه طاعون که به وسیله گزش حشرات یا تماس با لاشه جانوران آلوده به انسان منتقل می شود. از عوارض آن چرک والتهاب غده های لنفی و اختلال عمومی در بدن است"	
28808	f˸تولارمی§n-25529	f˸تعریف	f˸"بیماری عفونی جانوران جونده، شبیه طاعون که به وسیله گزش حشرات یا تماس با لاشه جانوران آلوده به انسان منتقل می شود. از عوارض آن چرک والتهاب غده های لنفی و اختلال عمومی در بدن است"	
28817	f˸توله§n-10773	f˸تعریف	f˸"بچه ی شیر خوار بعضی از جانوران پستاندار"	
29623	f˸تیمار§n-22785	f˸تعریف	f˸"مراقبت و پرستاری از یک جانور یا انسان"	
29815	f˸ثعلب§n-14905	f˸تعریف	f˸"جانور گوشتخوار و پستاندار از خانواده ی سگ و شبیه آن با موی زیاد و گوشهای بزرگ , دم بلند و پوزه ی دراز"	
30431	f˸جامعه§n-10079	f˸تعریف	f˸"گروهی از یک نوع جانور که به طور دسته جمعی زندگی می کنند"	
30637	f˸جانور#n1	f˸عضو هم‌نشیم	f˸بشر§n-11988	
30638	f˸جانور#n2	f˸عضو هم‌نشیم	f˸جانور§n-12239	
30638	f˸جانور#n2	f˸عضو هم‌نشیم	f˸جانور§n-12239	
30639	f˸جانور§n-12239	f˸ISA	f˸ارگانیسم§n-12802	
30640	f˸جانور§n-12239	f˸مثال	f˸"جانوران قادر به حرکتند در حالیکه گیاهان ثابتند"	
30640	f˸جانور§n-12239	f˸مثال	f˸"جانوران قادر به حرکتند در حالیکه گیاهان ثابتند"	
30641	f˸جانور§n-12239	f˸تعریف	f˸"موجود زنده ای که توانایی حرکت ارادی و واکنش سریع حرکتی در برابر محرکها را دارد"	
30642	f˸جانورشناس#n1	f˸عضو هم‌نشیم	f˸جانورشناس§n-20479	
30642	f˸جانورشناس#n1	f˸عضو هم‌نشیم	f˸جانورشناس§n-20479	
30643	f˸جانورشناس§n-20479	f˸مرتبط با	f˸پژوهش§n-10577	
30644	f˸جانورشناس§n-20479	f˸مرتبط با	f˸جانور§n-12239	
30644	f˸جانورشناس§n-20479	f˸مرتبط با	f˸جانور§n-12239	
30645	f˸جانورشناس§n-20479	f˸ISA	f˸متخصص بیولوژی§n-20480	
30646	f˸جانورشناس§n-20479	f˸مثال	f˸"این جانور شناس به مطالعه زندگی جانوران آبزی می پردازد"	
30646	f˸جانورشناس§n-20479	f˸مثال	f˸"این جانور شناس به مطالعه زندگی جانوران آبزی می پردازد"	
30646	f˸جانورشناس§n-20479	f˸مثال	f˸"این جانور شناس به مطالعه زندگی جانوران آبزی می پردازد"	
30647	f˸جانورشناس§n-20479	f˸تعریف	f˸"کسی که دارای معلومات و تخصص در رشته جانورشناسی است"	
30647	f˸جانورشناس§n-20479	f˸تعریف	f˸"کسی که دارای معلومات و تخصص در رشته جانورشناسی است"	
30648	f˸جانورشناسی#n1	f˸عضو هم‌نشیم	f˸جانورشناسی§n-20481	
30648	f˸جانورشناسی#n1	f˸عضو هم‌نشیم	f˸جانورشناسی§n-20481	
30649	f˸جانورشناسی§n-20481	f˸مرتبط با	f˸پژوهش§n-10577	
30650	f˸جانورشناسی§n-20481	f˸مرتبط با	f˸جانورشناس§n-20479	
30650	f˸جانورشناسی§n-20481	f˸مرتبط با	f˸جانورشناس§n-20479	
30651	f˸جانورشناسی§n-20481	f˸مرتبط با	f˸جانور§n-12239	
30651	f˸جانورشناسی§n-20481	f˸مرتبط با	f˸جانور§n-12239	
30652	f˸جانورشناسی§n-20481	f˸ISA	f˸بیولوژی§n-13046	
30653	f˸جانورشناسی§n-20481	f˸مثال	f˸"اگر به زندگی جانوران علاقه داری باید جانورشناسی بخوانی"	
30653	f˸جانورشناسی§n-20481	f˸مثال	f˸"اگر به زندگی جانوران علاقه داری باید جانورشناسی بخوانی"	
30653	f˸جانورشناسی§n-20481	f˸مثال	f˸"اگر به زندگی جانوران علاقه داری باید جانورشناسی بخوانی"	
30654	f˸جانورشناسی§n-20481	f˸تعریف	f˸"علم مطالعه و تحقیق درباره زندگی جانوران"	
30654	f˸جانورشناسی§n-20481	f˸تعریف	f˸"علم مطالعه و تحقیق درباره زندگی جانوران"	
30655	f˸جانوری#a1	f˸عضو هم‌نشیم	f˸جانوری§a-986	
30655	f˸جانوری#a1	f˸عضو هم‌نشیم	f˸جانوری§a-986	
30656	f˸جانوری§a-986	f˸مثال	f˸"درس آناتومی جانوری"	
30656	f˸جانوری§a-986	f˸مثال	f˸"درس آناتومی جانوری"	
30657	f˸جانوری§a-986	f˸تعریف	f˸"مربوط به جانور"	
30657	f˸جانوری§a-986	f˸تعریف	f˸"مربوط به جانور"	
31625	f˸جغرافیا§n-25392	f˸تعریف	f˸"دانشی که زمین و زندگی در آن را بررسی می کند و به توصیف دریاها، کوهها، رودها، آب و هوا، پراکندگی گیاهان و جانوران، از جمله انسان و فعالیتهای تولیدی و صنعتی او می پردازد"	
31656	f˸جغرافیای زیستی§n-25396	f˸تعریف	f˸"جغرافیای مربوط به رابطه انسان، جانور و گیاه با محیط زندگی خود"	
31751	f˸جفتک زدن§v-8375	f˸مرتبط با	f˸جانور§n-12239	
31987	f˸جمجمه‌داران§n-22835	f˸مثال	f˸"جمجمه داران از جانوران تنابدار هستند"	
32352	f˸جنس§n-11221	f˸تعریف	f˸"هویت و ویژگی کسی یا جانوری از نظر تولیدمثل که انسانها و جانوران را به زن و مرد یا نر و ماده تقسیم می نماید"	
32352	f˸جنس§n-11221	f˸تعریف	f˸"هویت و ویژگی کسی یا جانوری از نظر تولیدمثل که انسانها و جانوران را به زن و مرد یا نر و ماده تقسیم می نماید"	
33097	f˸جولاه§n-22877	f˸تعریف	f˸"جانور بی مهرهٔ شکارگری است که دارای بدنی دوبخشی و هشت پا است. عنکبوت‌ها فاقد بخش‌های جوندهٔ دهان و بال‌اند"	
33106	f˸جوندگان§n-12732	f˸ISA	f˸جانور§n-12239	
33217	f˸جگوار§n-21067	f˸تعریف	f˸"جانور پستاندار گوشتخوار از تیره‌ی گربه‌سانان، بومی مناطق گرمسیری قاره‌ی آمریکا دارای جثه‌ی بزرگتر از پلنگ، با پوستی به رنگ قهوه‌ای کم رنگ و خالهای سیاه"	
34171	f˸حس§n-12994	f˸تعریف	f˸"هر کدام از توانایی های طبیعی جانور زنده که تاثیرات خارجی را با عضو مخصوص دریافت می کند"	
34408	f˸حشره شناسی§n-22860	f˸تعریف	f˸"شاخه‌ای از دانش جانورشناسی که به مطالعه‌ی علمی حشرات اختصاص دارد"	
34425	f˸حشره‌شناس§n-20478	f˸ISA	f˸جانورشناس§n-20479	
34621	f˸حفاظت‌شده§a-18470	f˸تعریف	f˸"ویژگی مکانی که تلاش می شود از نظر جغرافیایی و گونه های جانوری و گیاهی حفظ شود"	
35416	f˸حیات وحش§n-22757	f˸مرتبط با	f˸جانور§n-12239	
35419	f˸حیات وحش§n-22757	f˸تعریف	f˸"زندگی جانوران وحشی"	
35508	f˸حیوان اهلی§n-10771	f˸ISA	f˸جانور§n-12239	
35512	f˸حیوان بارکش§n-10769	f˸مرتبط با	f˸جانور§n-12239	
35517	f˸حیوان شکارگر§n-10794	f˸ISA	f˸جانور§n-12239	
35518	f˸حیوان شکارگر§n-10794	f˸مرتبط با	f˸جانور§n-12239	
35521	f˸حیوان شکارگر§n-10794	f˸تعریف	f˸"جانوری که جانوران دیگر را شکار می کند و طعمه ی خود می سازد"	
35521	f˸حیوان شکارگر§n-10794	f˸تعریف	f˸"جانوری که جانوران دیگر را شکار می کند و طعمه ی خود می سازد"	
35523	f˸حیوان ماده§n-12154	f˸ISA	f˸جانور§n-12239	
35529	f˸حیوان نابالغ§n-12156	f˸ISA	f˸جانور§n-12239	
35534	f˸حیوان کار§n-10768	f˸ISA	f˸جانور§n-12239	
35535	f˸حیوان کار§n-10768	f˸مرتبط با	f˸جانور§n-12239	
35538	f˸حیوان#n1	f˸عضو هم‌نشیم	f˸جانور§n-12239	
35700	f˸خارپشت§n-18871	f˸ISA	f˸جانور§n-12239	
36071	f˸خانواده§n-13210	f˸تعریف	f˸"یکی از درجه های طبقه بندی گیاهان و جانوران پس از راسته که شامل چندین جنس نزدیک به هم است"	
36778	f˸خرخاکی§n-19324	f˸تعریف	f˸"جانور خاکزی از راسته‌ی جورپایان،‌زیر رده‌ی سختپوستان، با بدن دارای حلقه‌های زیاد و دارای پاهای زیاد و شکم کوتاه"	
37114	f˸خزنده§n-12702	f˸ISA	f˸جانور§n-12239	
39276	f˸خونسرد§a-949	f˸تعریف	f˸"ویژگی جانوری که دمای بدنش تابع دمای محیط باشد"	
39292	f˸خونگرم§a-950	f˸تعریف	f˸"ویژگی جانوری که دمای بدنش ثابت است و با تغییرات دمای محیط تغییر نمی کند"	
39329	f˸خوک§n-20538	f˸تعریف	f˸"جانور پستاندار از زیرراسته خوکها، بدون شاخ و شاخک، دارای پوزه دراز و متحرک، دندانهای نیش دراز و خمیده، بدن سنگین با اندامهای نسبتاً کوتاه و پوست کلفت و پوشیده از موهای زبر. در بسیاری کشورها این جانور را برای پوست، مو، گوشت و چربی پرورش می دهند"	
39329	f˸خوک§n-20538	f˸تعریف	f˸"جانور پستاندار از زیرراسته خوکها، بدون شاخ و شاخک، دارای پوزه دراز و متحرک، دندانهای نیش دراز و خمیده، بدن سنگین با اندامهای نسبتاً کوتاه و پوست کلفت و پوشیده از موهای زبر. در بسیاری کشورها این جانور را برای پوست، مو، گوشت و چربی پرورش می دهند"	
39376	f˸خویش‌آمیز§a-18219	f˸مثال	f˸"جانور خویش آمیز نمی تواند با گونه ای از غیرخویشاوندان خود جفت گیری کند"	
39377	f˸خویش‌آمیز§a-18219	f˸تعریف	f˸"ویژگی جانوری که از تلاقی افراد خویشاوند حاصل شود"	
40237	f˸داغ آهن§n-15882	f˸مرتبط با	f˸جانور§n-12239	
40318	f˸دام§n-14155	f˸ISA	f˸جانور§n-12239	
40321	f˸دام§n-14155	f˸تعریف	f˸"جانور اهلی مانند گاو و گوسفند و اسب"	
40764	f˸دایناسور§n-19096	f˸ISA	f˸جانور§n-12239	
41004	f˸دد و دام§n-16049	f˸ISA	f˸جانور§n-12239	
